CUISINE_TYPE,RECIPE_ID
irish,586498
japanes,719029
asian,719029
mexican,471808
middl eastern,113911
mexican,758901
middl eastern,772934
american,198950
american,474164
mexican,511031
american,741607
greek,612499
mediterranean,612499
european,612499
mexican,574731
mediterranean,608094
european,608094
italian,608094
mediterranean,479944
european,479944
italian,479944
mexican,101934
mexican,468322
chines,602701
asian,602701
german,556096
european,556096
asian,754180
indian,754180
southern,677211
southern,772787
southern,748440
mediterranean,736866
european,736866
french,736866
mediterranean,19928
european,19928
italian,19928
american,597723
mediterranean,521631
european,521631
italian,521631
american,550046
mexican,475020
american,609768
asian,551349
indian,551349
american,688249
american,602338
spanish,573534
european,573534
cajun,692930
creol,692930
european,637675
english,637675
british,637675
scottish,637675
american,63447
american,783901
mediterranean,582582
european,582582
italian,582582
mexican,6952
mediterranean,51434
european,51434
italian,51434
southern,45112
american,550239
middl eastern,627160
southern,574000
mexican,136724
american,479381
american,618884
japanes,504164
asian,504164
mexican,555593
mediterranean,510330
european,510330
italian,510330
mexican,548614
mexican,669027
american,248053
american,568111
middl eastern,732151
mexican,553887
european,506980
eastern european,506980
european,608343
english,608343
british,608343
scottish,608343
american,506618
american,521398
american,500341
southern,558023
scandinavian,491861
european,491861
nordic,491861
southern,575327
southern,608412
mediterranean,514738
european,514738
italian,514738
middl eastern,410835
american,544023
asian,584847
indian,584847
american,272741
american,503290
greek,548501
mediterranean,548501
european,548501
american,709590
american,572852
mediterranean,17124
european,17124
french,17124
south american,737802
latin american,737802
mediterranean,697511
european,697511
italian,697511
mexican,498776
mediterranean,536060
european,536060
italian,536060
american,670407
american,607264
american,755678
mediterranean,603018
european,603018
italian,603018
american,244147
american,627108
mexican,444984
american,66869
mexican,32077
chines,522534
asian,522534
american,185137
american,608391
mediterranean,31919
european,31919
italian,31919
southern,246520
mexican,695204
asian,33378
indian,33378
american,49767
mexican,499735
american,718421
spanish,771568
european,771568
mediterranean,470729
european,470729
french,470729
american,63939
american,415481
mediterranean,757846
european,757846
italian,757846
southern,504218
mexican,494641
caribbean,621378
central american,621378
mexican,599471
mexican,552047
german,241352
european,241352
mediterranean,78493
european,78493
french,78493
mediterranean,492413
european,492413
italian,492413
american,476808
asian,811952
indian,811952
mexican,590579
american,71780
american,498233
scandinavian,4885
european,4885
nordic,4885
american,572932
american,573156
german,195179
european,195179
asian,481650
thai,481650
american,518124
asian,559331
indian,559331
asian,506868
thai,506868
cajun,484195
creol,484195
american,389793
mexican,516743
mexican,535815
mediterranean,499656
european,499656
italian,499656
asian,600969
indian,600969
mexican,397691
mediterranean,802485
european,802485
italian,802485
